,Organizations,Technologies,Slots,Ideas Page,Contact
16,Berkman Klein Center for Internet and Society at Harvard University,"ruby on rails, meteor.js, d3, elasticsearch, javascript ",5,https://cyber.harvard.edu/gsoc,https://cyber.harvard.edu/gsoc/Main_Page#Contact_Us
17,Blender Foundation,"opengl, opencl, python, c, c++",5,https://wiki.blender.org/index.php/Dev:Ref/GoogleSummerOfCode/2017/Ideas,http://wiki.blender.org/index.php/Community:Chat
18,Boost C++ Libraries,"c++, c++11, c++14, boost",4,https://svn.boost.org/trac/boost/wiki/SoC2017,http://www.boost.org/community/irc.html
19,Boston University / XIA,"xia,  linux kernel,  c,  advanced data structures",2,https://github.com/AltraMayor/XIA-for-Linux/wiki/Ideas-list,http://groups.google.com/group/linux-xia
20,BRL-CAD,"c/c++, opencl, python, javascript, qt",8,http://brlcad.org/wiki/Google_Summer_of_Code/Project_Ideas,http://brlcad.org/wiki/IRC
21,Cadasta,"python, django, javasc, javascipt",1,https://github.com/Cadasta/cadasta-project-ideas/wiki/Google-Summer-of-Code#cadasta-project-ideas,https://gitter.im/Cadasta/cadasta
22,Catrobat,"android, java, html5, ios, web",5,http://catrob.at/gsoc17,https://github.com/Catrobat/Catroid/wiki/Setup-working-environment
23,cBioPortal for Cancer Genomics," javascript, java, web, reactjs, web services",6,https://github.com/cBioPortal/GSoC/wiki/ideas,https://groups.google.com/forum/#!forum/cbioportal-gsoc
24,CCExtractor Development,"c, python, raspberry pi, linux, visual studio",6,https://ccextractor.org/public:gsoc:ideas_page_for_summer_of_code_2017,http://www.ccextractor.org/doku.php?id=public:general:support
25,Ceph,"c++, python, object-storage",4,http://ceph.com/gsoc2017-ideas,http://ceph.com/irc
26,CERN-HSF,"python, c/c++, machine learning, data analysis, parallel algorithms",20,http://hepsoftwarefoundation.org/activities/gsoc.html,http://hepsoftwarefoundation.org/activities/gsoc.html
27,Chapel,"chapel, python, high performance computing, c, c++",3,http://chapel.cray.com/gsoc/ideas.html,http://chapel.cray.com/developers.html
28,Checker Framework,java,5,https://checkerframework.org/gsoc-2017-ideas.html,https://groups.google.com/forum/#!forum/checker-framework-gsoc
29,Checkstyle," java, antlr",5,https://github.com/checkstyle/checkstyle/wiki/Checkstyle-GSoC-2017-Project-Ideas,https://gitter.im/checkstyle/checkstyle
30,Classical Language Toolkit," python, javascript",2,https://github.com/cltk/cltk/wiki/Project-ideas#gsoc-projects,https://gitter.im/cltk/cltk
31,"CLiPS, University of Antwerp","python, machine learning, mongodb, javascript ",2,http://www.clips.uantwerpen.be/projects/gsoc-2017,http://www.clips.uantwerpen.be:3001
32,Clojure,"clojure, clojurescript, jvm, javascript, functional programming",0,http://clojure-gsoc.org/project-ideas.html,http://clojurians.net/
33,Cloud Native Computing Foundation (CNCF),"kubernetes, go, prometheus, fluentd, grpc",6,https://github.com/cncf/soc,http://slack.cncf.io/
34,CloudCV," python, django, angularjs, reactjs,  deep learning",4,http://gsoc.cloudcv.org,https://gitter.im/Cloud-CV
35,CMU Sphinx,"c, cross-platform, hidden markov models, javascript ,  python",11,http://cmusphinx.sourceforge.net/wiki/projectideas,http://cmusphinx.sourceforge.net/wiki/communicate
36,coala,python,9,https://projects.coala.io/,http://coala.io/chat
37,Computational Biology @ University of Nebraska-Lincoln,"javascript, react, java, webgl, mysql",4,http://helikarlab.org/GSoC2017.html,mailto:helikarlab-gsoc@googlegroups.com
38,Conversations.im,"xmpp, java, android, javafx, python",1,https://conversations.im/gsoc.html,https://conversations.im/j/gsoc@conference.conversations.im
39,Copyleft Games,"python, opengl, javascript, c, xmpp",2,https://gsoc.copyleftgames.org/,https://gsoc.copyleftgames.org/
40,DBpedia," java, scala, graph, nosql, rdf",7,http://wiki.dbpedia.org/ideas/ideas/scope:all/sort:activity-desc/tags:gsoc17,http://wiki.dbpedia.org/gsoc2017
41,Discourse,"ruby on rails, ember,  ruby, javascipt, html/css",4,https://github.com/discourse/discourse/wiki/Summer-of-Code-2017-Ideas-List,https://github.com/discourse/discourse/wiki/Contact
42,Django Software Foundation,"python, django",0,http://code.djangoproject.com/wiki/SummerOfCode2017,https://docs.djangoproject.com/en/dev/internals/contributing/new-contributors/
43,Drupal,"php,  symfony,  sql,  javascript,  drupal 8",6,https://groups.drupal.org/node/515848,http://drupal.org/irc#drupal-google
44,Eclipse Vert.x,"java, reactive extensions, kotlin, microservices, event-loop",3,http://vertx.io/gsoc/,http://vertx.io/community/
45,Elm Software Foundation,"elm, javascript, haskell",1,https://github.com/elm-lang/projects/,http://elmlang.herokuapp.com/
46,Environmental Data And Governance Initiative,"python, javascript, ruby on rails, google cloud, go",2,https://envirodatagov.org/gsoc/,https://archivers-slack.herokuapp.com/
47,Fedora Project,"python, linux, git, postgres, ansible",5,https://fedoraproject.org/wiki/Summer_coding_ideas_for_2017,https://webchat.freenode.net/?channels=#fedora-summer-coding
48,FFmpeg,"c, assembly, git",6,https://trac.ffmpeg.org/wiki/SponsoringPrograms/GSoC/2017,https://ffmpeg.org/contact.html#IRCChannels
49,FOSDEM,"git, ruby on rails, postgresql, html/css",1,http://fosdem.org/gsoc2017ideas,http://webchat.freenode.net/?channels=fosdem-gsoc
50,FOSSASIA,"python, java, javascript, android, php",51,http://labs.fossasia.org/ideas.html,http://blog.fossasia.org/contact/
51,Free and Open Source Silicon Foundation,"verilog, c, vhdl, python",4,http://fossi-foundation.org/gsoc17-ideas.html,http://fossi-foundation.org/getinvolved.html
52,FreeBSD,"c/c++, llvm, shell, make, assembly",5,https://wiki.freebsd.org/SummerOfCodeIdeas,https://wiki.FreeBSD.org/SummerOfCodeIRC
53,Freifunk,"lede/openwrt, c, html/css, shell script,  javascript",12,https://wiki.freifunk.net/Ideas,https://wiki.freifunk.net/Freifunk-Chat
54,Frescobaldi,"python, pyqt",2,https://github.com/wbsoft/frescobaldi/wiki/Google-Summer-of-Code,https://groups.google.com/forum/#!forum/frescobaldi
55,"Genes, Genomes and Variation","mysql, perl, javascript",5,http://www.ensembl.info/gsoc-2017/,http://lists.ensembl.org/mailman/listinfo/dev
56,GENIVI Development Platform,"linux, c, yocto, c++, qt",0,https://at.projects.genivi.org/wiki/display/GDP/GDP+GSoC+ideas,https://at.projects.genivi.org/wiki/pages/viewpage.action?pageId=11567210#GENIVIDevelopmentPlatform(GDP)-HowdoIcontributetotheGENIVIDevelopmentPlatform?
57,Gentoo Foundation,"shell, c/c++, python, linux",3,https://wiki.gentoo.org/wiki/Google_Summer_of_Code/2017/Ideas,https://wiki.gentoo.org/wiki/Google_Summer_of_Code/2017/Application_Guidelines
58,Git,"c,  shell script,  git",1,https://git.github.io/SoC-2017-Ideas/,http://git-scm.com/community
59,Global Alliance for Genomics and Health," python,  java, sql, c++, mongodb",2,https://docs.google.com/document/d/1cdrWkFMqwZ38revM3G-ROJSTeNnh-Zt2XE_DcXVxo1I/edit?usp=sharing,https://docs.google.com/document/d/1cdrWkFMqwZ38revM3G-ROJSTeNnh-Zt2XE_DcXVxo1I/edit?usp=sharing
60,GNOME,"c, python, gtk+,  javascript, gobject",19,https://wiki.gnome.org/Outreach/SummerOfCode/2017/Ideas,https://wiki.gnome.org/Community/GettingInTouch/IRC
61,GNSS-SDR,"c/c++, c++, c++11, c++14, gnss",5,http://gnss-sdr.org/google-summer-code-2017-ideas-list/,http://lists.sourceforge.net/lists/listinfo/gnss-sdr-developers
62,GNU Octave,"c++, hg",4,http://wiki.octave.org/Summer_of_Code_Project_Ideas,https://webchat.freenode.net/?channels=#octave
63,GNU Radio,"software defined radio, c++, python, dsp",2,http://gnuradio.org/redmine/projects/gnuradio/wiki/GSoCIdeas,http://gnuradio.org/redmine/projects/gnuradio/wiki/IRC
64,Green Navigation,"javascript, java, react, apache spark, tensorflow",5,http://greennav.io/docs/ideas-page/,http://grennavigation.slack.com
65,Haiku,"c++, posix",5,https://www.haiku-os.org/community/gsoc/2017/ideas,https://www.haiku-os.org/community/irc
66,Homebrew,"ruby, git, github, bash, macos",2,https://github.com/Homebrew/Outreachy-and-Google-Summer-of-Code,https://github.com/Homebrew/brew#community
67,illumos.org,"dtrace, illumos, unix, openzfs, zfs",0,https://wiki.illumos.org/display/illumos/Project+Ideas,https://wiki.illumos.org/display/illumos/Google+Summer+of+Code
68,INCF,"c++, python, java, xml, gpu",13,https://www.incf.org/collaborate/tool-development/google-summer-of-code/gsoc-2017-project-ideas,mailto:gsoc@incf.org
69,Inkscape,"svg, css, c++, c++11, python",2,http://wiki.inkscape.org/wiki/index.php/Google_Summer_of_Code#Suggested_Project_Ideas,https://inkscape.org/en/community/discussion/
70,Institute for Artificial Intelligence,"lisp, prolog, c++, python, ros",5,https://ai.uni-bremen.de/teaching/gsoc2017,https://gitter.im/iai_gsoc17/general
71,Intel Media and Audio for Linux,"video, decode, encode, vpp, multimedia",2,https://01.org/documentation/gsoc-2017-ideas,https://01.org/linuxmedia/vaapi
72,Internet Archive,"python, javascript",2,https://docs.google.com/a/archive.org/document/d/1MHCUroc4pGdUTfUZ-Ro67HVg-T46Jw07aYx0T4BnfHI/edit?usp=sharing,mailto:info@archive.org
73,JBoss Community,"java, android, asciidoctor, mobil, kubernetes",3,https://developer.jboss.org/wiki/JBossCommunityGoogleSummerOfCode2017Ideas,https://developer.jboss.org/wiki/JBossGSoCContactInformation
74,JdeRobot - Universidad Rey Juan Carlos,"python, c/c++, ros, gazebo",4,http://jderobot.org/Collaborate#Ideas_List_.28for_Google_Summer_of_Code_2017.29,http://jderobot.org/Collaborate#Mailing_List
75,Jitsi,"webrtc, java, javascript, sip, xmpp",3,https://jitsi.org/Development/GSoC17,https://jitsi.org/Development/MailingLists
76,Joomla,"php, html, html/css,  javascript, jquery",8,https://docs.joomla.org/GSOC_2017_Project_Ideas,http://irc.lc/freenode/joomla/
77,JSK Robotics Laboratory,"ros, lisp, prolog, openhrp, openrtm",2,http://www.jsk.imi.i.u-tokyo.ac.jp/gsoc/2017,https://gitter.im/euslisp/jskeus
78,K-9 Mail,"android, java",2,https://github.com/k9mail/k-9/wiki/Google-Summer-of-Code-2017,https://riot.im/app/#/room/#freenode_#k-9
79,KDE,"c++, qt, qt5",24,https://community.kde.org/GSoC/2017/Ideas,https://userbase.kde.org/IRC_Channels
80,LabLua,"lua, céu",6,http://www.lua.inf.puc-rio.br/gsoc/ideas2017.html,http://groups.google.com/group/labluagsoc
81,LibreHealth,"java, php, javascript, mysql",4,https://forums.librehealth.io/ideas,https://chat.librehealth.io
82,LibreOffice,"c++, python, java",9,https://wiki.documentfoundation.org/Development/GSoC/Ideas,https://wiki.documentfoundation.org/Website/IRC
83,libvirt,"kvm, xen, hypervisor",1,http://wiki.libvirt.org/page/Google_Summer_of_Code_Ideas,http://libvirt.org/contact.html#irc
84,Liquid Galaxy Project,"javascript, ros, gis, cesiumjs",3,https://github.com/LiquidGalaxy/liquid-galaxy/wiki/GSoC2017IdeasPage,mailto:lg-gsoc@endpoint.com
85,LLVM Compiler Infrastructure,"llvm, clang",8,http://llvm.org/OpenProjects.html#gsoc17,http://llvm.org/docs/#irc
86,lowRISC,"verilog, chisel, risc-v, linux",4,http://www.lowrisc.org/docs/gsoc-2017-ideas/,https://listmaster.pepperfish.net/cgi-bin/mailman/listinfo/lowrisc-dev-lists.lowrisc.org
87,LuaRocks,"lua,  lua, luarocks",1,http://luarocks.github.io/luarocks/gsoc/ideas2017.html,http://gitter.im/luarocks/luarocks
88,MariaDB,"mariadb, mysql, c, c++, java",1,https://mariadb.com/kb/en/mariadb/google-summer-of-code-2017/,https://mariadb.com/kb/en/meta/irc/
89,Matrix.org,"react,  android, ios, golang, nodejs",3,https://github.com/matrix-org/GSoC/blob/master/IDEAS.md,https://github.com/matrix-org/GSoC/blob/master/README.md
90,MBDyn,"c++, python",2,https://louisgag.github.io/mbdyn-gsoc-projects/,http://lists.mbdyn.org/mailman/listinfo/mbdyn-users
91,MetaBrainz Foundation Inc.,"postgres, perl, python, javascript, bigquery",5,http://wiki.musicbrainz.org/Development/Summer_of_Code/2017,https://metabrainz.org/contact
92,Metasploit,"ruby, c, asm",2,https://github.com/rapid7/metasploit-framework/wiki/GSoC-2017-Project-Ideas,https://github.com/rapid7/metasploit-framework/wiki/Contact
93,Microkernel devroom,"c, c++, rust, arm, x86",3,http://gsoc.microkernel.info/,mailto:gsoc@microkernel.info
94,Mifos Initiative,"java, android, angularjs, spring, mysql",10,https://mifosforge.jira.com/wiki/display/RES/Google+Summer+of+Code+2017+Ideas,https://gitter.im/openMF/mifos
95,MIT App Inventor,"java, javascipt, app, google app engine, gwt",4,https://github.com/mit-cml/appinventor-sources/wiki/Projects-GSoC-17,https://groups.google.com/forum/#!forum/app-inventor-open-source-dev
96,Mixxx DJ Software,"qt, c++, c++11, midi, hid",2,https://mixxx.org/wiki/doku.php/gsoc2017ideas,http://mixxx.org/irc
97,mlpack,c++,10,https://github.com/mlpack/mlpack/wiki/SummerOfCodeIdeas,http://webchat.freenode.net/?channels=mlpack
98,Mobile Robot Programming Toolkit (MRPT),"qt, c++, opengl, wxwidgets, ros",4,https://github.com/MRPT/mrpt/wiki/Ideas-page-for-MRPT-Google-Summer-of-Code-2017,https://groups.google.com/forum/#!forum/mrpt-users
99,Mono Project,"c#, .net, f#, c",9,http://www.mono-project.com/community/google-summer-of-code/projects,http://www.mono-project.com/community/help/irc/
100,Moodle,"php, jquery, mysql, postgresql,  javascript",1,https://docs.moodle.org/dev/Projects_for_new_developers,https://telegram.me/moodledev
101,MovingBlocks,"java, opengl, blender, json, gradle",10,https://github.com/MovingBlocks/Terasology/wiki/GSOC,https://github.com/MovingBlocks/Terasology/wiki/Using-IRC
102,Mozilla,"js, rust, html/css, c++, python",21,https://wiki.mozilla.org/Community:SummerOfCode17,https://wiki.mozilla.org/IRC
103,MuseScore,"c++11, qt5, qt, breakpad",3,https://musescore.org/en/developers-handbook/google-summer-code/ideas-2017,https://musescore.org/en/development#Get-help-from-other-developers
104,National Resource for Network Biology (NRNB),"java,  javascript, python, php, c++",20,https://github.com/nrnb/GoogleSummerOfCode/issues,https://groups.google.com/forum/#!forum/cytoscape-helpdesk
105,Netfilter project,"linux, kernel, c",2,http://people.netfilter.org/pablo/nf-ideas-2017.txt,mailto:pablo@netfilter.org
106,Nmap Security Scanner,"c/c++, lua, python, c, c++",4,https://nmap.org/soc/,http://webchat.freenode.net/?channels=nmap
107,NumFOCUS,"python, javascript, r, c/c++",10,https://github.com/numfocus/gsoc/blob/master/2017/ideas-list.md,https://groups.google.com/a/numfocus.org/forum/#!forum/gsoc
108,Open Bioinformatics Foundation," python, perl, java, c++, c/c++",7,http://obf.github.io/GSoC/ideas/,http://obf.github.io/GSoC/contact/
109,Open Chemistry,"python, c++, opengl, javascript, java",6,http://wiki.openchemistry.org/GSoC_Ideas_2017,http://public.kitware.com/mailman/listinfo/openchemistry-developers
110,Open Data Kit,"android, java, python, javascript, ruby",1,https://docs.google.com/document/d/1Huv9rBLFncsd-NF-Hip6wefZ9ARqatlgl2lLXbZHcuQ,http://slack.opendatakit.org
111,Open Detection,"c++, caffe, pcl, opencv",2,http://opendetection.com/idea_list_gsoc2017.html,https://groups.google.com/forum/#!forum/opendetection/
112,Open Genome Informatics,"python, java, javascript, nodejs, gwt",8,http://gmod.org/wiki/GSOC_Project_Ideas_2017,http://irc.lc/freenode/genomeinformatics/
113,Open States,"python, django, javascript, postgresql",1,https://github.com/openstates/planning/wiki/GSoC-2017-Overview#ideas,https://openstates-slack.herokuapp.com/
114,Open Technologies Alliance - GFOSS," php,  java,  mysql,  virtuoso, python",4,https://ellak.gr/wiki/index.php?title=GSOC2017_Ideas,https://lists.ellak.gr/opensource-devs/listinfo.html
115,OpenAstronomy,"python, julia, qt",8,http://openastronomy.org/gsoc/gsoc2017/,http://openastronomy.org
116,OpenCV,"vision,  deep learning,  c++,  python",15,https://github.com/opencv/opencv/wiki/GSoC_2017,http://opencv.org
117,OpenMRS,"java, javascript, html/css, hibernate, mysql",15,http://om.rs/soc2017,http://irc.openmrs.org/
118,OpenStreetMap,"postgis,  java,  ruby,  javascript",5,https://wiki.openstreetmap.org/wiki/Google_Summer_of_Code/2017/Project_Ideas,http://wiki.openstreetmap.org/wiki/IRC
119,openSUSE,"ruby on rails, javascript , docker, linux, angular.js",5,http://101.opensuse.org/gsoc/,https://en.opensuse.org/openSUSE:IRC_list
120,OpenWISP,"python, django, javascript, openwrt, raspberry pi",5,http://openwisp.org/gsoc/ideas-2017.html,http://openwisp.org/support.html
121,Oppia Foundation,"python, google app engine, angularjs, javascript, css",3,https://github.com/oppia/oppia/wiki/Google-Summer-of-Code-2017#oppias-project-ideas,https://gitter.im/oppia/oppia-chat
122,OSGeo,"c++,  python,  c,  sql, java",13,https://wiki.osgeo.org/wiki/Google_Summer_of_Code_2017_Ideas,https://wiki.osgeo.org/wiki/IRC
123,oVirt,"java,  python, kvm",2,http://www.ovirt.org/community/activities/summer-of-code/,https://www.ovirt.org/community/
124,ownCloud,"php, qt,  android, ios, javascript",3,https://github.com/owncloud/core/wiki/Google-Summer-of-Code,https://webchat.freenode.net/?channels=owncloud
125,P2PSP.org,"c++, python, qt, sockets, webrtc",2,http://p2psp.org/en/news/77-gsoc-2017-ideas-page,https://gitter.im/P2PSP/core
126,PEcAn Project,"r,  php, postgresql, javascript , c",3,http://pecanproject.github.io/gsoc_ideas.html,http://pecanproject.github.io/contact.html
127,Performance Co-Pilot,"python, javascript, c, linux, windows",5,http://pcp.io/gsoc/2017/ideas.html,http://pcp.io/community.html
128,Pharo Consortium,"smalltalk, roassal, polymath, pharo",5,http://gsoc.pharo.org/,https://pharoproject.slack.com
129,phpBB Forum Software,"php , mysql, javascript, symfony, css",2,https://www.phpbb.com/development/gsoc/ideas,https://www.phpbb.com/support/irc
130,phpMyAdmin,"php, mysql, jquery, javascript, cakephp",3,https://github.com/phpmyadmin/phpmyadmin/wiki/GSoC_2017_ideas_list,https://github.com/phpmyadmin/phpmyadmin/wiki/IRC
131,Physical Web Project,"beacon, web bluetooth, physical web, bluetooth",5,http://physical-web-project.github.io/,mailto:physicalwebproject@gmail.com
132,Plone Foundation,"python,  javascript, html/css",4,https://plone.org/community/gsoc/ideas/,https://community.plone.org
133,PMD,"java, javacc, xml, antlr, xpath",2,https://github.com/pmd/pmd/wiki/Project-Ideas-%5BMature%5D,https://lists.sourceforge.net/lists/listinfo/pmd-devel
134,Polly Labs,"llvm, integer set library, ppcg, pencil, polly",1,http://pollylabs.org/gsoc2017.html,https://groups.google.com/forum/#!forum/isl-development
135,Portland State University,"open hardware, language-agnostic",7,http://wiki.cs.pdx.edu/psu-gsoc/ideas.html,mailto:psu-gsoc-2017@googlegroups.com
136,PostgreSQL,"postgresql, c, perl, sql",4,https://wiki.postgresql.org/wiki/GSoC_2017,https://www.postgresql.org/community/irc/
137,Public Lab," javascript,  ruby, ruby on rails",5,http://publiclab.org/wiki/gsoc-ideas,http://gitter.im/publiclab/publiclab
138,Python Software Foundation,python,29,http://python-gsoc.org/,http://python-gsoc.org/#contact
139,QEMU,"c, python",4,http://wiki.qemu-project.org/Google_Summer_of_Code_2017,http://www.qemu-project.org/contribute/
140,Qubes OS,"c, python, shell, xen, linux",2,https://www.qubes-os.org/gsoc/,https://www.qubes-os.org/mailing-lists/
141,R project for statistical computing,"r-project, c, c++, fortran, javascript",33,https://github.com/rstats-gsoc/gsoc2017/wiki/table-of-proposed-coding-projects,https://github.com/rstats-gsoc/gsoc2017/wiki
142,radare2,"c, rust, python, nodejs",3,http://radare.org/gsoc/2017/ideas.html,http://radare.org/r/me.html
143,ReactOS,"c, c++",4,https://www.reactos.org/wiki/Google_Summer_of_Code_2017_Ideas,https://reactos.org/irc
144,Red Hen Lab,"high performance computing, machine learning, opencv, audio processing, multimodal analysis",9,http://www.redhenlab.org/summer-of-code/summer-of-code-2017---ideas-page,mailto:redhenlab@gmail.com
145,RoboComp,"c++, cmake, python, openscenegraph, qt",9,http://robocomp.github.io/website/2017/02/07/gsoc17ideas/,https://gitter.im/robocomp/home
146,Rocket.Chat,"javascript, meteor.js, mongo, webrtc",4,https://rocket.chat/docs/contributing/google-summer-of-code,https://demo.rocket.chat/channel/gsoc17
147,Rspamd,"c, lua, cmake",1,https://rspamd.com/ideas.html,https://rspamd.com/support.html
148,RTEMS Project,"c, python, posix",4,https://devel.rtems.org/wiki/Developer/OpenProjects,https://devel.rtems.org/wiki/Developer/IRC
149,Ruby on Rails,"html, ruby on rails, ruby",2,https://github.com/railsgsoc/ideas/wiki/2017-Ideas,http://rubyonrails.org/community/
150,Ruby Science Foundation," ruby, science, web, data, gpu",3,https://github.com/SciRuby/sciruby/wiki/Google-Summer-of-Code-2017-Ideas,http://sciruby.com/#irc
151,Sage Mathematical Software System,"python, cython, c++, c",5,https://wiki.sagemath.org/GSoC/2017,https://groups.google.com/group/sage-gsoc/
152,Samba,"c, python",1,https://wiki.samba.org/index.php/SoC/Ideas,https://wiki.samba.org/index.php/SoC/Ideas
153,Scala,"scala, jvm",8,http://scala-lang.org/gsoc/2017.html,https://gitter.im/scala/scala
154,Scilab,"c++, java, python, c, opengl",5,https://wiki.scilab.org/GSoC_project_proposal,https://www.scilab.org/resources/user_community/irc
155,ScummVM,"c++, sdl, opengl, assembly",2,http://wiki.scummvm.org/index.php/Summer_of_Code/GSoC_Ideas_2017,http://wiki.scummvm.org/index.php/Summer_of_Code/GSoC_Contact
156,Shogun Machine Learning Toolbox,"c/c++, python, swig, machine learning, cmake",4,https://github.com/shogun-toolbox/shogun/wiki/Google-Summer-of-Code-2017-Projects,http://shogun-toolbox.org/
157,Sigmah,"gwt, java, postgresql",2,http://wiki.sigmah.org/doku.php?id=ssoc:ideas4gsoc2017,http://wiki.sigmah.org/doku.php?id=contributorguide:projectcommunitycommunication#sigmah_irc_channelwhere_we_can_chat_live
158,Software Product Data Exchange (SPDX),"rdf, python, java,  github, c",4,http://wiki.spdx.org/view/GSOC/GSOC_ProjectIdeas,https://lists.spdx.org/mailman/listinfo/spdx-tech
159,STE||AR Group,"c++, boost, hpx, c++17 parallel stl, parallel algorithms",4,https://github.com/STEllAR-GROUP/hpx/wiki/GSoC-2017-Project-Ideas,https://github.com/STEllAR-GROUP/hpx/wiki/HPX-Resource-Guide
160,"Stony Brook University, Biomedical Informatics","big data, apache spark, matlab, c++, hadoop",3,http://goo.gl/7c3zOI,https://groups.google.com/d/forum/stonybrookbmigsoc
161,strace,"linux, c, git, shell script, make",4,https://sourceforge.net/p/strace/wiki/GoogleSummerOfCode2017/,https://strace.io
162,Sugar Labs," python, javascript, gtk, android",9,https://wiki.sugarlabs.org/go/Summer_of_Code/2017,https://webchat.freenode.net/
163,Sustainable Computing Research Group ( SCoRe ),"python, java, gcp, android, golan",16,http://www.scorelab.org/gsoc-2017/,https://gitter.im/scorelab/scorelab
164,SymPy,"python, c++",8,https://github.com/sympy/sympy/wiki/GSoC-2017-Ideas,https://gitter.im/sympy/sympy
165,"Systers, an Anita Borg Institute community","android, ios, python, java, javascript ",11,https://github.com/systers/ossprojects/wiki/GSoC-2017,http://systers.io/slack-systers-opensource/
166,TEAMMATES @ National University of Singapore,"java,  javascript, google app engine, css, java ee",8,http://tinyurl.com/teammates-ideas,https://github.com/teammates/teammates#contacting-us
167,The Center for Connected Learning and Computer-Based Modeling,"javascript, scala, html5",1,https://github.com/NetLogo/NetLogo/wiki/Google-Summer-of-Code-Ideas-List,https://gitter.im/NetLogo/GSoC2017
168,The CGAL Project,"c++, git, github",4,http://www.cgal.org/project_ideas.html,http://www.cgal.org/mailing_list.html
169,The Eclipse Foundation,"java, geo, iot, che, ide",10,https://wiki.eclipse.org/Google_Summer_of_Code_2017_Ideas,https://dev.eclipse.org/mailman/listinfo/soc-dev
170,The FreeType Project,"fonts, opentype, c, library",2,https://www.freetype.org/gsoc.html,https://lists.nongnu.org/mailman/listinfo/freetype-devel
171,The GNU Project,"c, guile, python",13,https://www.gnu.org/software/soc-projects/ideas.html,https://lists.gnu.org/mailman/listinfo/summer-of-code
172,The Honeynet Project," python, javascript, golang, android, network stack",12,https://honeynet.org/gsoc/ideas,https://gsoc-slack.honeynet.org/
173,The Java Pathfinder Team,"java,  jvm,  android,  distributed systems",7,https://jpf.byu.edu/gsoc17/projects/projects.html,https://webchat.freenode.net
174,The Julia Language,"julia,  javascript, gpu, c/c++, llvm",16,http://julialang.org/soc/ideas-page.html,https://discourse.julialang.org/
175,The Libreswan Project,"c, python,  shell script",2,https://libreswan.org/wiki/GSoC2017,https://libreswan.org/wiki/Main_Page#Developer_documentation
176,The Linux Foundation,"c, c++, cups, mysql, gtk",11,https://wiki.linuxfoundation.org/gsoc/google-summer-code-2017,https://wiki.linuxfoundation.org/gsoc/google-summer-code-2017#if-you-have-questions
177,The MacPorts Project,"tcl, make, git",2,https://trac.macports.org/wiki/SummerOfCode,http://webchat.freenode.net/?channels=%23macports
178,The NetBSD Foundation,"virtualization, filesystems, network stack, arm, mips",3,https://wiki.netbsd.org/projects/gsoc/,https://wiki.netbsd.org/netbsd-code-chat
179,The ns-3 Network Simulator Project,"c++, python",5,https://www.nsnam.org/wiki/GSOC2017Projects,https://www.nsnam.org/developers/tools/irc/
